input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,target_output_1
17,34.6,130,0.5,9,3.76,1.1939,2.7429,412.28
17,34.6,130,0.5,9,3.76,1.1415,2.7449,415.79
14,30,80,0.35,11,5.635,1.4385,1.6834,0
14,39,80,0.35,7,5.635,1.1971,2.719,328.71
14,30,182,0.65,11,5.635,1.2566,2.3814,385.98
20,39,80,0.65,7,5.635,1.2773,3.2596,246.92
14,39,80,0.65,7,2.456,1.2791,3.1528,353.4
17,34.6,130,0.5,7,3.76,1.0516,2.7334,329.75
20,30,80,0.35,11,2.456,1.4692,1.9772,0
17,34.6,130,0.5,9,5.635,1.1839,2.6688,214.38
17,34.6,182,0.5,9,3.76,1.1434,2.6927,452.31
17,30,130,0.5,9,3.76,1.1998,2.3022,190.69
14,30,80,0.65,7,5.635,0.9921,2.4823,193.88
20,39,80,0.35,7,2.456,1.1052,2.9427,463.03
20,30,182,0.65,11,2.456,1.4019,2.3886,231.11
17,34.6,130,0.5,9,3.76,1.1493,2.75,412.53
17,34.6,130,0.5,9,3.76,1.1945,2.7313,419.28
14,30,182,0.35,11,2.456,1.5672,1.7755,0
14,39,80,0.65,11,5.635,1.5484,2.9822,461.73
14,30,80,0.65,11,2.456,0.7498,2.6086,331.28
17,34.6,130,0.5,9,3.76,1.165,2.7508,411.85
17,34.6,130,0.65,9,3.76,1.2652,2.8668,419
20,30,182,0.35,7,2.456,1.0122,2.4273,371.65
17,34.6,130,0.5,9,3.76,1.1989,2.7081,417.33
20,39,182,0.35,11,2.456,1.3841,2.6365,375.44
17,34.6,80,0.5,9,3.76,1.1516,2.7705,403.06
20,30,182,0.35,11,5.635,1.3825,1.9676,0
14,34.6,130,0.5,9,3.76,1.1673,2.6496,424.97
17,34.6,130,0.5,9,2.456,1.1965,2.7268,463.8
14,39,182,0.35,11,5.635,1.3096,2.4468,282.97
20,39,182,0.65,7,2.456,1.246,3.2878,263.6
20,30,182,0.65,7,5.635,1.0026,2.5803,370.21
20,30,80,0.65,11,5.635,1.2856,2.4107,251.88
17,34.6,130,0.35,9,3.76,1.2128,2.3691,293.29
14,39,182,0.65,11,2.456,1.3787,3.1774,418.95
14,39,182,0.65,7,5.635,1.2979,3.1505,232.75
20,39,182,0.65,11,5.635,1.2026,2.7367,455.13
17,34.6,130,0.5,9,3.76,1.1717,2.7386,420.97
14,30,182,0.35,7,5.635,1.0123,2.0132,11.523
20,30,80,0.35,7,5.635,0.9973,2.2885,189.19
17,39,130,0.5,9,3.76,1.3221,2.9732,443.87
20,30,80,0.65,7,2.456,0.9922,2.6553,436.47
14,30,80,0.35,7,2.456,1.0072,2.2308,15.2
14,39,80,0.35,11,2.456,1.4916,2.2187,109.34
14,30,182,0.65,7,2.456,0.979,2.6119,356.67
17,34.6,130,0.5,11,3.76,1.3023,2.5549,402.58
20,39,182,0.35,7,5.635,1.1497,2.5602,265.93
17,34.6,130,0.5,9,3.76,1.2161,2.7163,410.64
20,39,80,0.65,11,2.456,1.3634,3.2698,453.11
